Category,Id
7,0
8,1
8,2
5,3
9,4
3,5
2,6
3,7
6,8
2,9
5,10
0,11
7,12
3,13
2,14
0,15
0,16
2,17
9,18
2,19
2,20
8,21
8,22
0,23
2,24
9,25
0,26
0,27
0,28
5,29
3,30
6,31
2,32
7,33
3,34
3,35
9,36
9,37
3,38
8,39
2,40
2,41
6,42
2,43
0,44
5,45
2,46
2,47
6,48
9,49
3,50
3,51
2,52
5,53
8,54
9,55
5,56
3,57
3,58
2,59
3,60
8,61
3,62
3,63
6,64
8,65
0,66
9,67
2,68
0,69
5,70
6,71
5,72
3,73
2,74
2,75
0,76
5,77
6,78
3,79
0,80
8,81
9,82
7,83
5,84
2,85
5,86
2,87
6,88
0,89
2,90
2,91
2,92
2,93
9,94
7,95
5,96
8,97
7,98
0,99
2,100
0,101
2,102
7,103
3,104
2,105
0,106
2,107
2,108
2,109
5,110
9,111
2,112
7,113
3,114
0,115
8,116
9,117
3,118
5,119
3,120
3,121
2,122
2,123
7,124
8,125
9,126
5,127
9,128
2,129
5,130
3,131
7,132
0,133
2,134
9,135
2,136
3,137
7,138
3,139
6,140
2,141
9,142
7,143
3,144
3,145
5,146
7,147
8,148
0,149
8,150
5,151
0,152
2,153
2,154
7,155
9,156
0,157
3,158
0,159
5,160
0,161
6,162
3,163
2,164
0,165
5,166
2,167
8,168
3,169
0,170
9,171
0,172
6,173
7,174
5,175
2,176
0,177
8,178
3,179
9,180
9,181
6,182
2,183
9,184
2,185
0,186
6,187
3,188
5,189
5,190
3,191
9,192
3,193
2,194
3,195
3,196
2,197
5,198
2,199
8,200
5,201
3,202
3,203
3,204
9,205
0,206
3,207
0,208
6,209
3,210
8,211
0,212
5,213
8,214
0,215
0,216
9,217
2,218
2,219
7,220
7,221
5,222
9,223
7,224
6,225
2,226
5,227
8,228
3,229
2,230
9,231
2,232
6,233
2,234
3,235
0,236
7,237
9,238
3,239
2,240
2,241
6,242
2,243
7,244
8,245
9,246
7,247
8,248
3,249
3,250
2,251
0,252
0,253
3,254
0,255
2,256
9,257
2,258
2,259
0,260
9,261
9,262
6,263
2,264
2,265
8,266
6,267
0,268
2,269
2,270
2,271
7,272
2,273
8,274
3,275
0,276
0,277
3,278
3,279
2,280
8,281
3,282
0,283
8,284
8,285
7,286
8,287
0,288
0,289
9,290
3,291
7,292
8,293
8,294
2,295
0,296
8,297
2,298
8,299
9,300
9,301
3,302
6,303
0,304
7,305
7,306
7,307
2,308
2,309
7,310
2,311
2,312
6,313
3,314
